,a_id,user_id,repository_pair_id,synergy,direction,explanation,synergy_map,synergy_abstract,repo_description1,repo_description2,score,username,batch
8,6,8,6,2,2,"They both solve the same task but with a few features missing in both. Merging them will create a more ""complete"" tool for scanning metadata for videos. ",0,1,"Seasons, absolute mode, Subfolders and plexignore support...",Plex HTTP Anidb Metadata Agent (HAMA),0.0013506436906207044,syed,1.0
12,140,12,6,4,21,"project 1 is already build into project 2, because Absolute Series Scanner is project 1",2,2,"Seasons, absolute mode, Subfolders and plexignore support...",Plex HTTP Anidb Metadata Agent (HAMA),0.0013506436906207044,schwabe_1,1.0
10,247,10,6,2,2,Both projects appear to do essentially the same thing.,0,1,"Seasons, absolute mode, Subfolders and plexignore support...",Plex HTTP Anidb Metadata Agent (HAMA),0.0013506436906207044,voelske,1.0
8,8,8,8,2,2,They both seem to visualize genome sequences but I am not sure if they complement each other as my background knowledge about types of genome visualizations is very limited. Therefore I cannot decide if one type of sequence can be better visualized or complemented by the other repository. ,0,1,HiCPlotter,Git-based TCR database storage & management,0.001532779139837486,syed,1.0
12,142,12,8,4,12,"project 1 visualizes genomic data, and project 2 provides data for T-cell receptor sequences of known antigen specificity
i don't know if this is actually genomic data, so there might be no synergy ",2,2,HiCPlotter,Git-based TCR database storage & management,0.001532779139837486,schwabe_1,1.0
10,249,10,8,1,0,"I don't know enough computational biology to be sure, but maybe the genome database in Repo 2 can benefit from the visualization tool in Repo 1? The fact that they use different technology stacks (Python vs Groovy) kind of speaks against this, though.",-1,0,HiCPlotter,Git-based TCR database storage & management,0.001532779139837486,voelske,1.0
10,252,10,11,4,2,"I'd prefer to select 'None' for Synergy direction, but it is greyed out: I don't think the two Repos can directly benefit from each other, because they have clear, non-overlapping responsibilities. However, a new, third project could easily use both as dependencies, and benefit from their combination.",2,2,Flexible and scalable Django authorization backend for unified per object permission management,"Core common behaviors for Django models, e.g. Timestamps, Publishing, Authoring, Editing and more.",0.0012998184596364414,voelske,1.0
12,145,12,11,4,12,"one can easily build a python django project using both projects.
project 1 can define rules based on information added by project 2",2,2,Flexible and scalable Django authorization backend for unified per object permission management,"Core common behaviors for Django models, e.g. Timestamps, Publishing, Authoring, Editing and more.",0.0012998184596364414,schwabe_1,1.0
8,21,8,11,4,2,Repo 1 provides an authorization-backend and Repo 2 provides model behaviours for Django applications. They both can be used together as independent modules to build a new Django application. ,2,2,Flexible and scalable Django authorization backend for unified per object permission management,"Core common behaviors for Django models, e.g. Timestamps, Publishing, Authoring, Editing and more.",0.0012998184596364414,syed,1.0
10,275,10,20,1,0,Repo1 generates control flow graphs for java programs. Repo2 is implemented in Python.,-1,0,Smali Control Flow Graph's,Simple Python commands and library for using bitcoin OP_RETURNs,0.0013686717668829188,voelske,1.0
8,30,8,20,3,2,"Repo 1 seems to be about encryption, while Repo 2 is about Bitcoin. May be they can benefit from each other, but I am not sure due to my limited background knowledge in both domains.",1,2,Smali Control Flow Graph's,Simple Python commands and library for using bitcoin OP_RETURNs,0.0013686717668829188,syed,1.0
12,154,12,20,1,0,analysis of program code vs. bitcoin transactions ,-1,0,Smali Control Flow Graph's,Simple Python commands and library for using bitcoin OP_RETURNs,0.0013686717668829188,schwabe_1,1.0
8,33,8,23,4,2,They are different modules of the same course (Data science). ,2,2,"General Assembly's Data Science course in Washington, DC","General Assembly's Data Science course in Washington, DC",0.0013626949315540707,syed,1.0
10,278,10,23,2,12,"Both repos contain course materials for the exact same data science course with different dates. Repo1 is a newer iteration of the course, so presumably it would have been built upon repo2.",0,1,"General Assembly's Data Science course in Washington, DC","General Assembly's Data Science course in Washington, DC",0.0013626949315540707,voelske,1.0
12,157,12,23,2,21,project 2 is a older version of project 1,0,1,"General Assembly's Data Science course in Washington, DC","General Assembly's Data Science course in Washington, DC",0.0013626949315540707,schwabe_1,1.0
8,34,8,24,1,0,,-1,0,Persistent/Immutable/Functional data structures for Python,"A mutable, self-balancing interval tree. Queries may be by point, by range overlap, or by range containment. ",0.0013344279879352538,syed,1.0
10,279,10,24,3,21,"Both repositories implement fundamental data structures. The ones in repo1 appear to be more low-level, and could perhaps be used as a foundation for repo2. At the same time, a third project could easily benefit from using both as dependencies.",1,2,Persistent/Immutable/Functional data structures for Python,"A mutable, self-balancing interval tree. Queries may be by point, by range overlap, or by range containment. ",0.0013344279879352538,voelske,1.0
12,158,12,24,3,21,project 2 could use data structures provided by project 1 to implement a second data structure which is persistent,1,2,Persistent/Immutable/Functional data structures for Python,"A mutable, self-balancing interval tree. Queries may be by point, by range overlap, or by range containment. ",0.0013344279879352538,schwabe_1,1.0
10,280,10,25,1,0,"Repo1 is an API for a Kenyan mobile network operator, Repo2 is a collection of historical stock market data.",-1,0,Official AfricasTalking Python API ,S&P 500 index data (aka Standard and Poor's index of 500 major US stocks),0.0013048630805975374,voelske,1.0
